X1,Y1,Flag1
180.773,440.045,0
180.773,440.045,0
180.773,440.045,0
180.773,440.045,0
180.500,440.083,0
179.286,439.786,0
175.773,439.045,0
175.269,439.038,0
174.269,439.038,0
174.269,439.038,0
173.667,439.500,0
171.577,438.192,0
170.143,437.929,0
169.885,437.885,0
169.773,438.045,0
169.773,438.045,0
169.773,438.045,0
168.143,437.929,0
167.714,437.786,0
167.731,437.962,0
167.346,437.885,0
167.269,438.038,0
167.269,438.038,0
167.250,438.083,0
165.000,438.000,0
164.500,438.000,0
164.000,438.000,0
164.000,438.000,0
163.767,438.300,0
163.786,438.357,0
163.433,438.633,0
170.417,437.417,0
172.417,436.417,0
172.409,436.318,0
180.429,435.857,0
182.429,435.857,0
183.857,435.714,0
184.500,435.767,0
185.286,435.786,0
185.429,435.857,0
186.000,436.000,0
188.038,436.731,0
191.227,436.955,0
192.000,437.000,0
192.429,437.143,0
192.900,437.167,0
193.192,437.577,0
194.857,437.143,0
198.100,437.367,0
198.833,437.500,0
199.167,437.567,0
199.500,437.917,0
200.000,438.000,0
202.433,438.367,0
203.367,438.500,0
204.000,438.833,0
204.083,438.833,0
206.333,439.417,0
206.714,439.500,0
207.000,439.900,0
207.500,439.643,0
213.115,438.885,0
215.300,438.567,0
215.857,438.143,0
216.812,438.562,0
217.357,438.643,0
217.857,438.857,0
218.000,439.000,0
219.000,439.000,0
219.000,439.000,0
219.917,439.167,0
220.794,439.500,0
220.808,439.808,0
221.500,440.000,0
221.731,440.346,0
223.654,441.115,0
225.885,441.731,0
226.227,441.955,0
226.900,442.167,0
227.286,442.214,0
227.000,442.667,0
226.962,442.577,0
227.227,442.773,0
228.967,442.567,0
230.083,442.833,0
230.773,442.955,0
231.000,443.000,0
231.000,443.000,0
231.333,443.083,0
231.714,443.286,0
236.167,443.667,0
236.917,443.917,0
237.731,443.962,0
238.000,444.000,0
238.500,444.233,0
238.714,444.286,0
241.300,444.300,0
242.833,444.433,0
243.500,444.917,0
244.227,444.955,0
242.500,444.500,0
241.625,443.625,0
241.000,443.500,0
240.625,443.625,0
240.500,443.500,0
240.500,443.786,0
235.500,444.000,0
234.500,444.000,0
233.700,444.300,0
233.000,444.500,0
232.773,444.955,0
232.000,445.000,0
229.900,445.433,0
229.500,445.286,0
229.071,445.357,0
229.000,445.857,0
228.857,446.357,0
228.143,445.714,0
222.382,444.382,0
221.300,444.367,0
205.714,441.214,0
201.100,440.767,0
197.429,440.286,0
196.000,441.000,0
194.269,440.962,0
193.500,440.917,0
192.500,441.000,0
192.269,440.962,0
191.071,440.429,0
187.500,440.000,0
186.000,440.000,0
185.000,440.000,0
184.269,440.962,0
183.962,440.654,0
178.700,439.433,0
178.083,439.083,0
177.000,439.071,0
176.269,439.038,0
175.429,439.571,0
175.233,439.500,0
175.071,439.714,0
175.000,440.000,0
170.885,438.885,0
170.367,438.633,0
169.714,438.786,0
169.500,438.767,0
169.143,438.929,0
167.367,437.900,0
165.786,437.714,0
165.192,437.808,0
164.714,437.786,0
164.808,437.885,0
164.500,438.000,0
164.269,438.038,0
163.500,438.000,0
162.500,438.357,0
162.333,438.556,0
162.143,438.857,0
162.000,439.000,0
160.500,439.000,0
160.500,439.000,0
160.500,439.000,0
160.500,439.000,0
162.625,438.375,0
163.500,437.500,0
166.500,437.688,0
177.083,436.167,0
179.000,436.000,0
180.731,436.038,0
181.429,436.071,0
182.115,435.731,0
185.567,433.633,0
186.917,432.833,0
187.115,432.731,0
188.000,432.333,0
188.192,431.885,0
188.654,431.885,0
190.731,432.962,0
192.286,433.357,0
192.500,433.654,0
192.571,433.857,0
192.571,433.857,0
195.857,434.357,0
197.000,434.833,0
197.917,434.917,0
198.250,435.188,0
202.808,435.577,0
204.000,436.000,0
205.500,436.000,0
206.115,436.115,0
207.038,436.577,0
206.885,436.731,0
209.885,438.192,0
210.857,438.643,0
211.567,439.100,0
212.167,439.250,0
212.500,439.286,0
212.071,439.357,0
211.955,441.136,0
212.100,441.200,0
212.100,441.200,0
216.731,440.962,0
220.115,441.115,0
220.654,441.192,0
221.962,441.269,0
222.192,441.731,0
222.731,441.962,0
223.083,441.833,0
227.000,441.000,0
227.500,441.000,0
228.000,441.000,0
228.000,441.000,0
228.700,441.367,0
228.833,441.433,0
229.000,442.000,0
228.731,442.038,0
235.000,442.000,0
236.000,442.000,0
237.000,442.000,0
237.318,442.227,0
244.000,442.667,0
245.227,442.955,0
247.000,443.000,0
247.000,443.000,0
254.731,442.038,0
256.000,442.000,0
256.885,442.115,0
257.143,442.357,0
257.500,442.875,0
257.833,443.278,0
257.600,443.300,0
257.167,443.611,0
257.625,444.375,0
257.625,444.750,0
257.625,445.125,0
257.786,445.357,0
257.786,445.357,0
257.389,446.389,0
257.389,447.389,0
257.400,447.900,0
257.400,448.100,0
257.400,448.600,0
252.700,449.200,0
250.409,450.227,0
249.833,450.667,0
249.346,450.962,0
249.250,450.917,0
250.312,451.312,0
256.500,451.192,0
256.250,451.375,0
256.227,451.955,0
256.000,452.000,0
256.115,452.115,0
256.433,452.433,0
255.333,452.000,0
256.346,448.654,0
256.773,447.591,0
256.773,447.591,0
256.773,447.591,0
256.700,447.500,0
255.167,443.833,0
254.722,442.833,0
254.500,442.500,0
254.625,442.375,0
244.833,438.333,0
242.583,437.417,0
240.767,436.500,0
235.500,435.083,0
226.833,433.700,0
224.633,433.567,0
223.731,433.038,0
223.269,433.038,0
222.000,433.000,0
221.346,433.192,0
220.654,433.269,0
216.885,432.885,0
212.773,432.227,0
211.786,432.357,0
210.912,432.500,0
210.125,432.688,0
210.269,432.962,0
206.559,431.794,0
203.929,431.500,0
203.583,431.250,0
202.875,431.562,0
202.500,431.731,0
202.346,431.808,0
198.286,430.714,0
196.250,430.083,0
195.500,430.000,0
195.000,430.000,0
194.773,430.045,0
194.571,430.429,0
194.214,430.286,0
193.833,430.700,0
193.773,430.045,0
189.115,429.192,0
188.269,429.038,0
187.500,429.000,0
187.269,429.038,0
186.500,429.000,0
186.312,428.812,0
183.429,428.143,0
183.269,428.038,0
183.269,428.038,0
179.833,425.333,0
177.773,424.409,0
177.192,424.115,0
176.571,423.857,0
176.833,423.750,0
161.111,439.000,0
160.100,440.300,0
159.300,443.200,0
159.500,445.346,0
159.192,446.808,0
158.864,448.227,0
159.567,449.367,0
159.357,449.500,0
159.633,449.500,0
159.500,449.643,0
159.731,449.808,0
159.192,450.423,0
159.429,450.714,0
159.083,453.417,0
158.409,455.955,0
158.500,456.400,0
158.318,456.773,0
158.318,457.227,0
162.083,458.667,0
163.250,459.583,0
163.833,459.917,0
163.955,459.955,0
164.100,460.100,0
164.423,460.577,0
159.278,458.944,0
159.278,458.944,0
159.500,459.000,0
159.773,459.045,0
159.571,459.643,0
159.583,459.833,0
160.000,460.000,0
160.000,460.000,0
159.633,460.567,0
159.714,460.786,0
160.000,461.000,0
160.286,461.143,0
160.269,461.962,0
160.269,461.962,0
160.500,462.000,0
160.029,462.500,0
160.250,462.688,0
