X1,Y1,Flag1
122.214,313.929,0
122.214,313.929,0
121.5,313.75,1
121.1,313.3,1
104.5,312.25,1
103.5,312.5,0
103.5,312.5,0
103.5,312.5,0
111.071,313.786,0
110.9,317.1,0
110.389,317.722,0
110,317.75,0
89.5,318.5,0
86,318.5,0
83.5,318.25,0
71.833,317.833,0
62.167,317.333,0
60.3,317.1,0
56.3,317.9,1
49,318.5,1
46,318.5,1
45,318.5,1
42.16666667,320,0
39.33333333,321.5,0
36.5,323,0
36.75,322,0
48.682,320.773,0
52,321.5,0
58,323,0
58,323,0
58.3,322.9,0
61.955,318.5,0
63.5,318.5,0
70.955,319.318,0
77.5,319.333,0
77.667,319.333,0
80.333,319.167,0
93.577,318.269,0
96.029,318.206,0
97.611,318.222,0
115.974,318.237,0
119.55,318.2,0
120.792,318.208,0
130.65,321.15,0
140.5,325.9,0
142.273,327,0
157.971,345.088,0
160.794,348.853,0
162.4,351.05,0
170.722,358.833,0
171.7,359.8,0
172.2,360.2,0
171.559,359.088,0
176.761,362.152,0
178.062,365.062,0
182.25,370.25,0
181,369,0
180.643,368.357,0
182.833,377.333,0
183.423,378.423,0
183.633,378.9,0
175.206,378.794,0
170.167,382.967,0
163.577,371.5,0
158.731,364.885,0
156.233,356.3,0
151.868,347.711,0
150.938,345.75,0
144.9,333.45,0
141.591,327.636,0
137.794,323.559,0
129.429,317.5,0
128.938,317.312,0
115.5,311.9,0
109.5,310.5,0
90,309.5,0
77.5,308.25,0
74.5,309.25,0
66,309.5,0
65.5,309.5,0
66.7,310.6,0
52.667,316.333,0
51,316.875,0
46.3,318.2833333,0
41.6,319.6916667,0
36.9,321.1,0
37,321.25,0
37.5,321.5,0
37.5,321.5,0
37.833,321.833,0
38.5,322,0
38.833,321.5,0
39.5665,321.3,0
40.3,321.1,0
46,322.5,0
47,322.5,0
47,322.5,0
46.5,320.25,0
46,318,0
52,313.5,0
53,312.5,0
55,313,0
62,312,0
64,311.5,0
64.5,311.75,0
64,312.5,0
70.5,313.25,0
70.167,313.167,0
70,313,0
72.7,315.9,0
74.5,316.5,0
73.5,316.3,0
74.3,316.7,0
82,316,0
89,316.5,0
90.5,316.5,0
107.5,317.75,0
114.7,318.9,0
127,318,0
130,318.5,0
133.917,318.333,0
134.929,318.143,0
134.7,318.1,0
134.885,318.192,0
139.417,321.167,0
138.1,320.7,0
140.917,322.667,0
144.9,325.3,0
150.654,329.731,0
157.227,334.227,0
165.833,345.167,0
176,362.5,0
178.1,366.3,0
182.9,378.7,0
183.5,380,0
184.75,383,0
185.5,385.5,0
186.667,390.667,0
180.7,391.6,0
178.9,392.7,0
176.5,387.125,0
169,376,0
165,366.5,0
156.833,347.5,0
154.833,343.5,0
153,340,0
144.7,330.3,0
136.269,322.269,0
132.773,319.591,0
115.7,315.1,0
107,313.5,0
108,313.5,0
74.5,313.75,0
68.7,313.9,0
54,318.5,0
49.5,319.5,0
47.167,320.167,0
46,320.5,0
44.833,320.833,0
46.3,316.1,0
46.125,316.5,0
46.071,316.643,0
38.3,315.1,0
39.167,315.833,0
37.5,309.9,0
38.5,310,0
47.167,308.167,0
53.5,306,0
63.167,310.167,0
65,310,0
65.7,309.9,0
65.1,313.7,0
71,317,0
72,317.667,0
92,316.5,0
104.5,316.25,0
108.1,316.7,0
123.5,317.5,0
132.5,318.417,0
145.714,322.643,0
152.167,326,0
154.583,327.583,0
164.75,340.5,0
