X1,Y1,Flag1
91,207.5,0
91,207.5,0
91,207.5,0
91,207.5,0
111,193,0
112.5,191,0
109.056,190.278,0
108.167,187.667,0
108.5,186.833,0
105.75,187.625,0
102.875,185.375,0
102.75,185.25,0
102.944,185.5,0
95,192.5,0
96.3,192.5,0
96.3,192.6,0
96.5,193.5,0
89.5,197.5,0
88.5,198,0
88.214,198.071,0
87,198.5,0
89.389,193.833,0
90.278,194.389,0
104.136,188.409,0
108,186.455,0
110.735,185.206,0
110.167,184.433,0
125.438,174.438,0
129.864,171.045,0
132.5,169,0
133.8,168.4,0
133.9,167.9,0
147.4,160.95,0
150.633,158.967,0
152.75,157.812,0
156.559,156.088,0
172.711,150.237,0
176.079,149.184,0
178.289,148.553,0
178.9,148.2,0
180,148,0
180.95,147.55,0
181.045,147.318,0
181.409,147.318,0
180.447,153.763,0
182.794,157.559,0
184.079,158.921,0
191.091,161.727,0
201.587,166.022,0
204.881,167.548,0
206.763,168.237,0
207.917,168.417,0
207.881,168.643,0
206.864,169,0
208.9,171.9,0
208.816,171.868,0
201.833,168.333,0
189.955,166.364,0
186.324,165.5,0
174.206,161.265,0
169.5,160.5,0
167.208,160.125,0
165.717,159.848,0
151.727,159.091,0
147.342,159.184,1
145.5,159.417,1
129.6,166.35,1
123.182,169,0
109.625,178,0
102.206,183.147,0
99.625,185,0
91.929,195.071,0
89.167,198.417,0
87.833,199.833,0
87.5,200.318,0
87.227,200.955,0
86.833,201.611,0
84.833,200.944,0
83.5,200.75,0
83.2,200.5,0
85.4,198.5,0
85.9,196.1,0
88.731,197.038,0
103.184,191.342,0
106.417,190.083,0
106.1,190.3,1
121.9,178.7,1
126.167,175.667,1
131.192,172.038,1
141.5,165,1
150.5,158.5,1
152.233,157.033,0
154.429,156.143,0
168.714,148.714,0
172.214,147.143,0
177.812,145.125,0
182,143.786,0
179.375,142.25,0
172.5,127.25,0
171.25,122.917,0
170.929,122.071,1
170.833,120.667,1
169.5,116.7,1
170,117.5,1
169.115,114.577,1
168.5,105.5,1
167.5,98.5,1
167.5,99,1
167.5,98.5,1
165.5,84.5,1
164.5,76.5,1
164.5,78.5,1
160.5,65,1
159.5,62,1
159.167,60.5,1
158.214,57.5,1
157.786,56.643,0
157.5,55.5,0
155.3,52.9,0
154.5,52,0
154,51.5,0
154.5,61.5,0
155,71.5,0
158.833,89.167,0
159.5,91,0
160.5,98.5,0
161,100,0
161.25,100.5,0
161.5,100.5,0
162.833,102.167,0
163.5,103,0
163.5,103,0
168.5,117,0
179.75,139.5,0
193,156,0
207.1,166.2,0
208.5,167.5,0
210.5,168.833,0
212.5,173.167,0
213.071,173.929,0
213.5,174.5,0
213.833,174.722,0
213.833,174.833,0
213,174.5,0
207,171.5,0
201.167,169.833,0
201.167,169.833,0
201.833,170.167,0
201.75,169.75,0
184.3,161.1,0
185,161.5,0
179.5,159,0
177.1,157.2,0
168.773,152.136,0
166.5,150.667,0
165.346,150.115,0
164.167,149.583,0
163.885,149.115,0
163.808,149.115,0
161.591,141.5,0
161.318,140.5,0
160.944,139.056,0
161.3,130.9,0
161,128,0
160.75,120.5,0
160.5,119,0
160.5,107.5,0
160.5,105.5,0
162.5,97,0
162.5,96.5,0
162.5,96,0
162.833,73.167,0
162.833,68.833,0
163,67,0
162.5,58.5,0
162,51.5,0
162,50,0
162.375,53.25,0
168.5,74,0
167.5,93,0
167.5,99.5,0
167.5,102,0
167.5,104,0
167.5,105,0
167.5,105.5,0
167.5,109.5,0
167.333,115.5,0
167.5,114.5,0
167.5,115.5,0
168.5,127.5,0
169.233,131.967,0
169.917,132.667,0
175.767,144.367,0
176.562,145.562,0
176.562,145.562,0
182.833,149.667,0
185.714,151.571,0
196.5,155.167,0
201.5,157.5,0
206.4,160,0
215.192,167.5,0
217.5,169.571,0
218.357,170.143,0
219.192,170.5,0
220.071,175.429,0
220.885,177.038,0
221.143,177.571,0
221.167,177.833,0
208.1,169.9,0
202.125,167.375,0
196,164.929,0
194.688,164.375,0
192.912,163.206,0
182.658,156.868,0
179.944,154.889,0
178.556,154.111,0
177.767,153.433,0
173.833,148.944,0
171.722,146.056,0
171.182,145.091,0
169.132,135.921,0
167.618,128.853,0
167.167,127.5,0
166,121,0
163.375,102.75,0
162.625,99.625,0
162.618,98.147,0
161.562,94.375,0
161.571,94.071,0
161.9,95.433,0
158,84,0
157.864,83.864,0
158.167,84.389,0
160.833,78.833,0
161.5,76.045,0
161.857,69.786,0
163.167,59.722,0
163.5,56.5,0
163.625,54.25,0
163,56.5,0
157.278,56.056,0
156.278,56.056,0
156.167,60.944,0
155.722,69.944,0
155.9,70.7,0
158.6,90.8,0
159,92,0
158.5,93,0
161.5,108.5,0
162.5,115,0
162.7,117.5,0
166,130,0
167,133,0
168.4,136.9,0
168.864,137.409,0
168.1,135.9,0
171.25,140.667,0
171.722,141.389,0
171.682,141.5,0
171.5,141.4,0
178.75,144.667,0
179.5,145,0
180.167,145.333,0
187.083,153.417,0
188.731,155.115,0
188.731,155.115,0
193.9,159.3,0
198.833,162.833,0
200.227,163.955,0
211,169.5,0
221.3,174.1,0
224.167,175.833,0
225,176,0
221.833,176.722,0
222.5,179,0
223.214,179.786,0
223.375,180.125,0
223.375,180.125,0
224,179.5,0
215,175.5,0
214.5,175.5,0
213.125,176.125,0
213.278,175.389,0
213.056,175.278,0
204.5,170.167,0
196.7,166.9,0
195.25,166.25,0
194.3,166.1,0
193.5,165.25,0
193,165,0
192.833,165.167,0
195.2,164.6,0
193.682,163.318,0
193.318,162.864,0
193.571,163.143,0
194,162.8,0
188.214,156.643,0
186.5,154.5,0
185,153.167,0
179.643,145.429,0
178.5,143.75,0
176.7,141.1,0
173.833,135.5,0
172.5,132.5,0
170.773,128.5,0
167,113.5,0
165.5,105.5,0
164.75,103,0
164.5,102,0
162.25,88.5,0
161.833,84.667,0
161.5,83,0
161.3,81.7,0
161.25,81.25,0
159.5,71,0
158.278,64.944,0
158.5,65,0
158.5,64.5,0
158.6,62.2,0
159.643,56.643,0
159.5,57,0
159.5,56,0
159.5,52,0
159.5,48,0
159.833,47.833,0
160.6,51.8,0
166.389,58.611,0
166.773,58.864,0
165.5,63.5,0
165.722,66.056,0
163.833,65.25,0
161.833,73,0
161.577,74.423,0
161.571,75,0
159.5,82.25,0
159.577,82.192,0
159.5,82.75,0
160.591,82.318,0
160.812,84.188,0
160.875,84.562,0
160.889,84.278,0
160.929,83.643,0
160.971,84.735,0
163.885,94.115,0
164.375,96.375,0
164.944,97.5,0
165.132,106.342,0
165.184,108.026,0
165.111,114.333,0
165,116,0
165.056,115.889,0
166.3,119.1,0
168,124.75,0
168.233,125.7,0
166.944,137.889,0
166.868,141.079,0
166.342,142.658,0
166.214,142.976,0
163.15,153.35,0
161.881,156.786,0
161.079,158.447,0
160.5,159.05,0
159.912,160.088,0
160.167,160.889,0
156.1,165.767,0
152.5,166.5,0
145.3,170.3,0
144.5,170.833,0
142.5,172.1,0
126,185,0
128,183,0
122.167,187.167,0
118.4,188.2,0
114.125,190.5,0
111.071,192.5,0
109.9,193.7,0
98.278,201.056,0
96.7,202,0
95.864,202.5,0
95.3,202.7,0
94.7,203,0
94.7,203,0
97.192,190.269,0
102.5,188.5,0
116.367,181.833,0
119.767,180.1,0
124.071,177.071,0
138.033,167.967,0
141.167,165.917,0
142.735,164.794,0
147.088,162.147,0
158.853,155.088,0
161.033,153.7,0
162.711,153.026,0
171.767,147.767,0
175.167,145.833,0
