X1,Y1,Flag1
293,91.667,0
293,91.667,0
295.25,86.5,0
295.333,84.167,0
295.5,84,0
300.2,90.3,0
303.929,92.786,0
304.1,92.8,0
305,97.75,0
305,97.5,0
305.5,98,1
311.5,108,1
313.5,111,0
314.167,112.833,0
319,123,0
322.833,129.167,0
323.9,131.7,0
324,133,0
324.9,133.7,0
325,134.5,0
324.5,136,1
331.75,154.5,1
331.25,154,0
332,156,1
334.833,160.5,1
338.3,166.9,1
339,168,1
339.7,169.1,1
349.955,173.955,1
353.5,174.75,0
355.056,175.278,0
354,174.75,0
357.75,175.083,1
365.5,174.5,1
369.5,174.5,1
370.5,174.5,1
372.167,174.167,1
373,174.5,1
380.5,174.5,1
389.7,175.9,1
390.1,175.8,0
391.1,175.8,0
389,175.5,0
398.25,175.75,1
397.5,175.5,0
400,175.5,1
410.75,176.75,1
417.5,177.5,1
419,177.5,0
421.2,177.2,0
436,178.5,0
436,178.5,0
440.214,178.929,1
436.227,177.045,0
427.5,165.083,0
418,169,0
412.5,170.929,1
410.583,171.917,0
400.312,173.125,0
391.875,174.312,0
389.192,174.731,0
371.433,173.633,0
366.312,173.562,0
364.433,173.5,0
362.625,173.562,0
361.735,173.559,0
354.556,171.611,0
351.571,170.643,0
350.389,170.167,0
350.026,170.132,0
341.024,171.071,0
339.5,171.079,0
338.278,171.056,0
337.184,170.974,0
337.278,170.889,0
336.868,169.237,0
336.447,167.5,0
336.633,167.167,0
338,169.5,1
338.167,164.5,1
338.444,161.889,1
339,164,1
342.605,158.289,1
344.556,155.833,0
344.55,155.25,0
345.833,160.833,0
354.033,177.367,0
354.714,179.857,0
346,185.5,0
332.917,196.75,1
329.367,200.367,0
321.045,213.227,0
316.038,221.038,0
315.5,222,0
314.3,224.1,1
305.5,234,1
299.3,241.6,1
297.625,243.75,0
293.167,251.167,0
290.75,255,1
289.7,256.3,0
297.833,257,0
299.333,258,0
300.5,260,0
299.5,261,0
299.5,261,0
300.9443333,259.389,0
302.3886667,257.778,0
303.833,256.167,0
306,252.5,0
305.3,252.9,0
305.3,252.5,0
305.833,242.333,0
305.5,244,0
305.5,244,0
307.7,238.1,0
312.833,228.167,0
314,226,0
315,224,0
315.167,223.167,0
315,225,0
325.1,210.7,0
326.75,208.5,0
328,207,0
332.1,197.7,0
332.167,197.5,0
333.5,195,0
334.5,193,0
334.833,192.5,0
341.5,184.5,0
346,179.5,0
348,177.5,0
353.9,174.9,0
361,173.5,0
366,172.5,0
373,171,0
